permit_number,issued_date,site_address,sub_type,work_type,contractor,description,valuation
MI211436,2016-09-07,5342 Kimberly Rd,Single Family,Remodel/Alteration,LANDMARK REMODELING LLC,BASEMENT EGRESS WINDOW (2),2000
MI211499,2016-09-07,15513 Boulder Creek Dr,Single Family,Remodel/Alteration,Nicolas J Jordan,ADDED BATHROOM TO EXISTING CLOSET SPACE REMOVED NON LOAD BEARING WALL SEPERATING KITCHEN FROM DINING,3500
MI211597,2016-09-07,13405 Preston Rd,Single Family,Remodel/Alteration,EGRESS WINDOW GUY AND MORE,DIGGING AND INSTALLING A GALV STEEL WELL REPLACING HOPPER SIGNLE CASEMENT,2300
MI210574,2016-09-06,131 Cheshire La,Commercial/Ind,Remodel/Alteration,"CBC North-South, LLC",REMOVAL OF WALLL BUILDING OF 1/2 WALL BUILDING OF FULL WALL WINDOW,15000
MI211617,2016-09-06,4221 Winchester Ct,Single Family,Maintenance/Repair,Minnetonka Construction,Replace Siding,12000
MI211618,2016-09-06,5201 Baker Rd,Single Family,Maintenance/Repair,Sela Roofing,Tear Off/Reroof,6800
MI211620,2016-09-06,14112 Kinsel Rd,Single Family,Maintenance/Repair,A LINE CONSTRUCTION,Tear Off/Reroof,5995
MI211631,2016-09-06,13607 Spring Lake Rd,Single Family,Maintenance/Repair,Garlock-french Roofing,Tear Off/Reroof,27711
MI210487,2016-09-06,15717 Wood Knoll La,Single Family,Remodel/Alteration,SUPERIOR CONST SERVICE INC,FIRE RESTORATION,90000
MI210949,2016-09-06,5640 Hathaway La,Single Family,Remodel/Alteration,UNLIMITED SERVICES INC,REMOVE EXISTING DECK AND BUILD NEW DECK TO THE SAME SIZE USING TREATED LUMBER,5200
MI211329,2016-09-06,4905 Beacon Hill Rd,Single Family,Remodel/Alteration,ROELOFS REMODELING,REMOVE CIRCULAR IRON STAIRWAY BUID NEW STIARWAY PERM PLAN EGRESS WINDOW,25100
MI211605,2016-09-06,4826 Royal Oaks Dr,Single Family,Remodel/Alteration,L AND R LANDSCAPING,DEMO SWIMMING POOL,5000
MI211606,2016-09-06,16608 Temple Dr N,Single Family,Remodel/Alteration,L AND R LANDSCAPING,DEMO SWIMMING POOL,5000
MI211372,2016-09-06,4750 Temple Rd,Townhouse Units,Remodel/Alteration,NORTHRUP ROOFING AND REMODELINGCONSTRUCT,3 SEASON PORCH ON BACK OF TOWNHOUSE,45000
MI211253,2016-09-02,6000 Clearwater Dr,Commercial/Ind,Remodel/Alteration,Welsh Facilites Services,DEMO INTERIOR,57000
MI211307,2016-09-02,12225 Wayzata Blvd 2094,Commercial/Ind,Remodel/Alteration,PRM CONTRACTING,WHITE BOX FOR FUTURE TENANT,90000
MI211308,2016-09-02,12231 Wayzata Blvd 2139,Commercial/Ind,Remodel/Alteration,PRM CONTRACTING,WHITE BOX FOR FUTURE TENANT,80000
MI211310,2016-09-02,12227 Wayzata Blvd 2132,Commercial/Ind,Remodel/Alteration,PRM CONTRACTING,WHITE BOX FOR FUTURE TENANT,90000
MI211311,2016-09-02,12605 Wayzata Blvd 2076,Commercial/Ind,Remodel/Alteration,PRM CONTRACTING,WHITE BOX FOR FUTURE TENANT,90000
MI211313,2016-09-02,12607 Wayzata Blvd 2074,Commercial/Ind,Remodel/Alteration,PRM CONTRACTING,WHITE BOX FOR FUTURE TENANT,90000
MI211583,2016-09-02,3412 Oak Ridge Rd 216,Multi Family Apts/Condos,Remodel/Alteration,REVIVAL INTERIORS LLC,REMODEL KITCHEN,5000
MI211235,2016-09-02,5223 Glenview Dr,Single Family,Addition,Tony R Johnson,16 X 28 ADDITION ON SOUTH SIDE OF HOUSE WITH FULL BASEMENT AND DECK AREA,60000
MI211421,2016-09-02,3306 Larchmore Ave,Single Family,Addition,Stephen A Green,ADD 3 SEASON PORCH,36760
MI211487,2016-09-02,5500 Pompano Dr A304,Single Family,Maintenance/Repair,Bonnie J Koenig,REBUILD THE RAILING ON THE DECK,600
MI211571,2016-09-02,3516 Lowell St,Single Family,Maintenance/Repair,Craftsmans Choice,Replace Siding,23653
MI211603,2016-09-02,4710 Timber Ridge Ct,Single Family,Maintenance/Repair,Stephen A Bonfilio,Tear Off/Reroof,10000
MI211193,2016-09-02,3290 Eldorado Tr W,Single Family,Remodel/Alteration,Theresa M Rennick Deering,DECK,8500
MI211333,2016-09-02,1611 Oakways,Single Family,Remodel/Alteration,COMPLETE BASEMENT SYSTEMS,FOUNDATION SUPPORT USING ZINC I BEAMS,8380
MI211343,2016-09-02,16531 Hidden Valley Rd,Single Family,Remodel/Alteration,PHI DECKS,CONSTRUCT FREESTANDING DECK,15000
MI211543,2016-09-01,17310 Creek Ridge Pass,Single Family,Maintenance/Repair,SUPERIOR CONST SERVICE INC,Tear Off/Reroof,18000
MI211545,2016-09-01,16501 Lakeland Dr,Single Family,Maintenance/Repair,FRICKE EXTERIORS LLC,Tear Off/Reroof,5900
MI211550,2016-09-01,11021 Sumac La,Single Family,Maintenance/Repair,WELLINGTON HOME IMPROVEMENTS,Tear Off/Reroof,9700
MI204741,2016-09-01,5900 Camelot Cir,Single Family,Remodel/Alteration,Lisa H Yu,FRONT PORCH GABLE ADDITION,10000
MI211374,2016-09-01,16091 Highwood Dr,Single Family,Remodel/Alteration,PAQUETTE CONSTRUCTION CO,KITCHEN REMODEL REPAIR SOFFIT,23000
MI211370,2016-09-01,14501 Atrium Way 227,Townhouse Units,Remodel/Alteration,NORTHRUP ROOFING AND REMODELINGREMODEL,2 BATHROOMS,15000
MI211526,2016-08-31,4719 Coventry Rd E,Single Family,Maintenance/Repair,Twin Cities Siding Professionals,Replace Siding,10500
MI211534,2016-08-31,3904 Williston Rd,Single Family,Maintenance/Repair,Midwest Exteriors Plus Inc,Tear Off/Reroof,5300
MI211026,2016-08-31,2616 Cedar Crest Rd W,Single Family,Remodel/Alteration,ADVANCED HOME IMPROVEMENT LLC,ADD ONTO THE BACK OF THE HOUSE,22500
MI211517,2016-08-31,3613 Sunrise Dr W,Single Family,Remodel/Alteration,SHOWCASE BUILDERS,Replace window -28'' to 36'',2500
MI211490,2016-08-30,3545 Fairlawn Dr,Single Family,Maintenance/Repair,Roofs R Us,Tear Off/Reroof,8860
MI211493,2016-08-30,4655 Ellerdale Rd,Single Family,Maintenance/Repair,TIMBERLAND EXTERIORS INC,Replace Siding,30000
MI211497,2016-08-30,17500 Co Rd No 101,Single Family,Maintenance/Repair,Clear Choice Restoration,Tear Off/Reroof,2000
MI211124,2016-08-30,12824 Melody La,Single Family,Remodel/Alteration,Blake Gavin Potts,ADDING A DECK ONTO THE BACK OF THE HOUSE,5000
MI210704,2016-08-29,5501 Feltl Rd,Commercial/Ind,Remodel/Alteration,Welsh Facilites Services,INTERIOR REMODEL,434163
MI211213,2016-08-29,2000 Plymouth Rd,Commercial/Ind,Remodel/Alteration,WEIS BUILDERS INC,MOVING AND RE-INSTALLING MONUMENT SIGN WE PLAN ON MATCH OF EXISTING FOOTING DEPTH TO TIE ONTO.,3000
MI211446,2016-08-29,16501 Norwood Dr,Single Family,Maintenance/Repair,JACOBSON CONSTRUCTION,Replace Siding,30000
MI211460,2016-08-29,18066 Tamarack Dr,Single Family,Maintenance/Repair,Kuhls Contracting Inc,Tear Off/Reroof,6000
MI211470,2016-08-29,5719 Cedar La,Single Family,Maintenance/Repair,Sela Roofing,Replace Siding,8000
MI211476,2016-08-29,5024 Prescott Dr,Single Family,Maintenance/Repair,COTY CONSTRUCTION & REMODELING,Tear Off/Reroof,16000
MI211043,2016-08-29,2308 Totem Tr,Single Family,Remodel/Alteration,RIGHT ANGLE BUILDING CORP,KITCHEN RENOVATION -SIP ROOF SYSTEM OVERLAY SIP PANELS FROM EXTREME PANEL TECHNO,57875
MI211464,2016-08-29,18100 Covington Path,Townhouse Units,Maintenance/Repair,MINNESOTA ROOFING COMPANY,Tear Off/Reroof,28959
MI211465,2016-08-29,18110 Covington Path,Townhouse Units,Maintenance/Repair,MINNESOTA ROOFING COMPANY,Tear Off/Reroof 0,
MI211466,2016-08-29,18021 Covington Path,Townhouse Units,Maintenance/Repair,MINNESOTA ROOFING COMPANY,Tear Off/Reroof 0,
MI211467,2016-08-29,18031 Covington Path,Townhouse Units,Maintenance/Repair,MINNESOTA ROOFING COMPANY,Tear Off/Reroof 0,
MI211468,2016-08-29,6084 Covington Ter,Townhouse Units,Maintenance/Repair,MINNESOTA ROOFING COMPANY,Tear Off/Reroof 0,
MI211469,2016-08-29,6090 Covington Ter,Townhouse Units,Maintenance/Repair,MINNESOTA ROOFING COMPANY,Tear Off/Reroof 0,
MI211418,2016-08-26,131 Cheshire La,Commercial/Ind,Remodel/Alteration,ROBERT HOPF CONSTRUCTION,"INTERIOR DEMO 2 WALLS,REMOVE SHEET ROCK",2200
MI211351,2016-08-26,12000 Brenlyn La,Single Family,Maintenance/Repair,ATKINSON CONSTRUCTION & SIDING,Replace Siding,15000
MI211412,2016-08-26,2000 Blackberry La,Single Family,Maintenance/Repair,Property Claim Solutions Llc,Tear Off/Reroof,15989
MI210584,2016-08-26,6007 Fairwood Dr,Single Family,Remodel/Alteration,STORM PRO EXTERIORS INC,BUILDING A DECK AND INSTALLING PATIO DOOR,11000
MI210957,2016-08-26,18916 Kingswood Ter,Single Family,Remodel/Alteration,LANDMARK REMODELING LLC,DECK REPAIR 4 NEW DIAMOND PIER FOOTINGS 4 NEW POSTS AND BEAM,2000
MI211263,2016-08-26,4905 Mayview Rd,Single Family,Remodel/Alteration,Alex M Prchal,DEMO PANELING AND BATHROOMS FRAME BATHROOM AND BEDROOM FRAME DOORWAY FOR MASTER CLOSET,1600
MI210943,2016-08-25,5605 Green Circle Dr,Institution,Remodel/Alteration,REILING CONSTRUCTION,REMODEL WAREHOUSE TO GYM USE 0,
MI211135,2016-08-25,14319 Stewart La,Multi Family Apts/Condos,Maintenance/Repair,LINDSTROM RESTORATION,WATER DAMAGE REPAIR,16869
MI211355,2016-08-25,6003 Stoneybrook Dr,Single Family,Maintenance/Repair,TONKA ROOFING,Tear Off/Reroof,4500
MI211356,2016-08-25,16717 Blenheim Way,Single Family,Maintenance/Repair,TONKA ROOFING,Tear Off/Reroof,4500
MI211377,2016-08-25,15800 Sunset Rd,Single Family,Maintenance/Repair,Grussing Roofing Inc,Tear Off/Reroof,9274
MI211378,2016-08-25,14609 Oakwood Rd,Single Family,Maintenance/Repair,NEXT ERA CONSTRUCTION,Tear Off/Reroof,10000
MI210733,2016-08-25,5216 Scott Ct,Single Family,Remodel/Alteration,DESIGNER SPACES INC,NEW DECK,7600
MI211065,2016-08-25,11470 Cedar Pass,Single Family,Remodel/Alteration,DAVID HENDEL CONSTRUCTION LLC,REMOVE AND REPLACE DECK ADDING A SCREEN PORCH,25000
MI210441,2016-08-24,10901 Red Circle Dr,Commercial/Ind,Remodel/Alteration,HORIZON ROOFING INC,SEE ATTACHED PROPOOSAL--ROOF REPLACE,101434
MI211330,2016-08-24,4116 Thrushwood La,Single Family,Maintenance/Repair,MASON CONSTRUCTION SERVICES LLC,Tear Off/Reroof,7500
MI211336,2016-08-24,710 Gleason Acres Dr,Single Family,Maintenance/Repair,PRO BUILDT RESTORATION,Tear Off/Reroof,30000
MI211342,2016-08-24,2526 Crosby Rd,Single Family,Maintenance/Repair,SUNRISE EXTERIORS INC,Tear Off/Reroof,21200
MI211349,2016-08-24,13106 April La,Single Family,Maintenance/Repair,Reuter Walton Restoration Llc,Tear Off/Reroof,1500
MI211352,2016-08-24,13613 Lake St Extension,Single Family,Maintenance/Repair,Callco Homes Llc,Tear Off/Reroof,5500
MI211014,2016-08-24,5600 Mahoney Ave,Single Family,Remodel/Alteration,SUSSEL CORPORATION,DETACHED GARAGE REMOVE EXISTING GARAGE SAME LOCATION,24000
MI211092,2016-08-24,11505 Oakvale Rd N,Single Family,Remodel/Alteration,GREAT LAKES WINDOW & SIDIN,BATH REMODEL,4500
MI211145,2016-08-24,18282 Tamarack Dr,Single Family,Remodel/Alteration,ALLSTAR CONSTRUCTION COMMERCIAL,INSTALL LLC NEW RAILINGS AND DECKING ON EXISTING FRAMING REBUILD STAIRS TO ACCOMIDATE NEW DECKING,9900
MI211219,2016-08-24,2920 Minnehaha Cur,Single Family,Remodel/Alteration,CLH CONSTRUCTION LLC,BATHROOM REMODEL,15000
MI210405,2016-08-23,10980 Cedar Lake Rd,Commercial/Ind,Remodel/Alteration,M-CON CONSTRUCTION INC,CONSTRUCTION OF DEMISING WALL,8005
MI211305,2016-08-23,15700 Wing Lake Dr,Single Family,Addition,Chad N Carlson,2ND STORY ADDITION 0,
MI211282,2016-08-23,1906 Linner Woods Court,Single Family,Maintenance/Repair,ALLSTAR CONSTRUCTION RESIDENTIAL,OPERATING Tear Off/Reroof CO LLC,24500
MI211283,2016-08-23,12308 Hilloway Rd W,Single Family,Maintenance/Repair,Midwest Exteriors Plus Inc,Tear Off/Reroof,7500
MI211304,2016-08-23,3707 Elmwood Pl,Single Family,Maintenance/Repair,Garlock-french Roofing,Tear Off/Reroof,10534
MI211321,2016-08-23,18822 Kingswood Ter,Single Family,Maintenance/Repair,Craftsmen Home Improvements Inc,Tear Off/Reroof,2202
MI210207,2016-08-23,3414 Groveland La,Single Family,New,"GONYEA HOMES, INC.",BUILD NEW HOME,300000
MI210845,2016-08-23,4626 Pleasantwood Rd,Single Family,Remodel/Alteration,CROSSTOWN BUILDERS,REPLACE EXISITNG DECK AND SMALL SCREEN PORCH UNDER IT WITH THE SAME,10760
MI210911,2016-08-23,17840 Powderhorn Dr,Single Family,Remodel/Alteration,DECKS UNLIMITED,NEW STAIRS & RAILINGS,3500
MI210920,2016-08-23,4909 Royal Oaks Dr,Single Family,Remodel/Alteration,Douglas L Dahl,WHOLE HOUSE REMODEL---,22650
MI210956,2016-08-23,2505 Pine Cir,Single Family,Remodel/Alteration,Joseph R Goodhart,ON FRONT ENTRY OF HOUSE ADD 15' WUDE X 6 ' DEEP DECK WITH PORTICO,6000
MI210791,2016-08-22,18301 State Hwy No 7,Commercial/Ind,Remodel/Alteration,TOWN AND COUNTRY FENCE,INSTALLTION OF BLACK VINYL COATED CHAINLINK FENCE 120 FT LONG AND 20 FT HIGH AT THE EXISTING SYNTHET,16500
MI211250,2016-08-22,4633 Fairhills Rd E,Single Family,Maintenance/Repair,TRUE NORTH HOMES INC,Tear Off/Reroof,8500
MI210660,2016-08-22,5675 Vine Hill Rd,Single Family,Remodel/Alteration,Andrew B Sanvick,REMOVING EXISTING PORCH IN PREPERATION FOR NEW FOUR SEASON PORCH,10000
MI210846,2016-08-22,5928 Lone Lake Loop,Single Family,Remodel/Alteration,CANVASBACK CONST INC,NEW DECK BACK OF HOUSE,11500
MI210873,2016-08-22,17121 Creek Ridge Pass,Single Family,Remodel/Alteration,HERZOG CONSTRUCTION LLC,REPAIR OF EXISTING DECK NOT CHANGING DEMINSIONS,3000
MI211046,2016-08-22,13915 Orchard Rd,Single Family,Remodel/Alteration,Carter Custom Construction & Fireplaces,REMOVING 2 WINDOWS FRAMING FOR FRPLS INSTALLING SIDING ON EXTERIOR OF HOME WHERE WINDOWS WERE,4600
MI211218,2016-08-19,1901 Deer Hill Dr,Single Family,Maintenance/Repair,Tom Kleve,DEMO WORK IN BASEMENT -- WILL SUBMIT 0 PLANS LATER TO REMODEL,
MI211220,2016-08-19,17809 Old Excelsior Blvd,Single Family,Maintenance/Repair,ABODE CONSSTRUCTION INC,Tear Off/Reroof,5000
MI210543,2016-08-19,3130 Shores Blvd,Single Family,Remodel/Alteration,BROLSMA DESIGN BUILD INC,ADD ENTRY TO SIDE OF HOUSE,15000
MI210788,2016-08-19,272 Bellwether Path,Townhouse Units,New,RON CLARK,NEW HOME,385000
MI210789,2016-08-19,268 Bellwether Path,Townhouse Units,New,RON CLARK CONSTRUCTION LLC,NEW HOME,385000
MI211207,2016-08-19,3119 Co Rd No 101,Two Family Residence,Maintenance/Repair,Grussing Roofing Inc,Tear Off/Reroof,3518
MI211208,2016-08-19,3121 Co Rd No 101,Two Family Residence,Maintenance/Repair,Grussing Roofing Inc,Tear Off/Reroof,3518
MI211180,2016-08-18,12300 Golden Acre Dr,Single Family,Maintenance/Repair,Everlasting Exteriors Inc,Tear Off/Reroof,8000
MI210893,2016-08-18,13015 Inverness Rd,Single Family,Remodel/Alteration,LANE BUILDERS LLC,FINISH BASEMENT REPLACE EXISTING WOOD BEAM WITH FLUSH STEEL BEAM 3 EGRESS WINDOW WELLS BATHROOM TO,79972
MI211144,2016-08-18,5748 Cedar La,Single Family,Remodel/Alteration,Jerod J Pekuri,REMODEL OF BATHROOM LAUNDRY AREA ADD SAUNA REMOVE DOOR AT LANDING OF STEPS,5000
MI209809,2016-08-17,10401 Cedar Lake Rd,Commercial/Ind,Maintenance/Repair,DURARAIL/DURADEK OF MN,REMOVE IRON RAILINGS AND INSTALL EXCELL ALUM,155060
MI211154,2016-08-17,4826 Lamplighters La,Single Family,Maintenance/Repair,SELA ROOFING,Tear Off/Reroof,11295
MI211160,2016-08-17,4815 Highbury La,Single Family,Maintenance/Repair,Minnesota Remodeling Solutions,Tear Off/Reroof,5000
MI211161,2016-08-17,4452 Gaywood Dr,Single Family,Maintenance/Repair,All Around Property Preservation,Tear Off/Reroof,14451
MI211162,2016-08-17,2823 Ella La,Single Family,Maintenance/Repair,INSIGHT CONSTRUCTION LLC,STUCCO REPAIR- - 2 SMALL 8 X 10 AREAS,7500
MI211175,2016-08-17,5410 Maple Ridge Ct,Single Family,Maintenance/Repair,Sela Roofing,Tear Off/Reroof,11610
MI211178,2016-08-17,15736 Elodie La,Single Family,Maintenance/Repair,INCLINE ENTERPRISES,Tear Off/Reroof,14000
MI211179,2016-08-17,3408 Druid La,Single Family,Maintenance/Repair,INCLINE ENTERPRISES,"Tear Off/Reroof-PARTIAL, REAR SHED DORMER ONLY, RE ROOF MULE HIDE",2000
MI210613,2016-08-17,5250 Beachside Dr,Single Family,Remodel/Alteration,Michael R Johnson,FINISHING LOWER LEVEL BASEMENT NEW SHEETROCK AND FLOORING,10000
MI210904,2016-08-17,16016 Hidden Valley Rd,Single Family,Remodel/Alteration,Joshua T Prust,REMODEL MAIN FLOOR LIVING SPACE INCLUDING KITCHEN DINING ROOM AND LIVING ROOM ADDITION OF MAIN FLO,75000
MI210979,2016-08-16,14730 Excelsior Blvd,Commercial/Ind,Remodel/Alteration,SHINGOBEE BUILDERS,RETAINING WALL,55000
MI211126,2016-08-16,13420 Larkin Dr,Single Family,Maintenance/Repair,Eagle Siding Inc,Tear Off/Reroof,17000
MI211129,2016-08-16,4621 Church La,Single Family,Maintenance/Repair,"GREAT RIVER REMODELING, LLC",Replace Siding,16000
MI211133,2016-08-16,6121 Baney Ct,Single Family,Maintenance/Repair,HUNERBERG CONSTRUCTION,WATER INTRUSION REPAIRS,4300
MI211137,2016-08-16,6017 Valewood Dr,Single Family,Maintenance/Repair,"PROMINENT CONSTRUCTION, LLC",Tear Off/Reroof,13000
MI211141,2016-08-16,11507 Oakvale Rd S,Single Family,Maintenance/Repair,Associated Exteriors Inc,Tear Off/Reroof,11960
MI211146,2016-08-16,12108 Sunrise La,Single Family,Maintenance/Repair,Grussing Roofing Inc,Tear Off/Reroof,8328
MI210227,2016-08-16,2045 Meeting St,Single Family,New,"GONYEA HOMES, INC.",NEW HOME,450000
MI210670,2016-08-15,17310 Minnetonka Blvd,Commercial/Ind,Remodel/Alteration,DIGIACOMO HOMES & REMODELING,DECK SEATING PLATFORM ADDED TO EXTERIOR COURTYARD,8000
MI210925,2016-08-15,3412 Oak Ridge Rd 118,Commercial/Ind,Remodel/Alteration,AUTHORITY FENCE & DECKS,Tenant Finish,5500
MI210926,2016-08-15,3412 Oak Ridge Rd 218,Commercial/Ind,Remodel/Alteration,AUTHORITY FENCE & DECKS,Tear Off OLD CONCRETE SLAB DECKS AND RAILS AND REPAIR AS NEEDED OUR NEW CONCRETE AND INSTALL NEW RAI,5500
MI210927,2016-08-15,3412 Oak Ridge Rd 318,Commercial/Ind,Remodel/Alteration,AUTHORITY FENCE & DECKS,Tear Off OLD CONCRETE SLAB DECKS AND RAILS AND REPAIR AS NEEDED OUR NEW CONCRETE AND INSTALL NEW RAI,5500
MI211101,2016-08-15,11004 Abbott La,Commercial/Ind,Remodel/Alteration,SCHERER BROTHERS,CHANGE PATIO DOOR TO WINDOW ADDING KNEE WALL NO HEADER CHANGES,4785
MI209913,2016-08-15,12926 Rutledge Cir,Single Family,Addition,"HANSEN HOMETECH, INC",ROOF ADDITION AND COVERED FRONT ENTRYWAY WITH DECK,60000
MI211072,2016-08-15,4663 Ellerdale Rd,Single Family,Maintenance/Repair,TO SERVE CONTRACTING LLC,Tear Off/Reroof Decking install ice and water on entire roof reshingle,14800
MI211079,2016-08-15,17137 Clear Spring Ter,Single Family,Maintenance/Repair,L AND R LANDSCAPING,POOL REMOVAL,5000
MI211080,2016-08-15,4737 Woodridge Rd,Single Family,Maintenance/Repair,J ROBERT ROOFING LLC,Tear Off/Reroof,7750
MI211093,2016-08-15,17800 Frommes Cir,Single Family,Maintenance/Repair,ROOSTER EXTERIORS INC,Tear Off/Reroof,4500
MI211098,2016-08-15,12917 Maywood La,Single Family,Maintenance/Repair,Minnesota Exteriors,Replace Siding,7750
MI211102,2016-08-15,15345 Lynn Ter,Single Family,Maintenance/Repair,TEAM CONSTRUCTION,Tear Off/Reroof,8100
MI211106,2016-08-15,3935 Brown La,Single Family,Maintenance/Repair,Garlock-french Roofing,Tear Off/Reroof,14500
MI211110,2016-08-15,13908 Mcginty Rd E,Single Family,Maintenance/Repair,Legacy Restoration Llc,Tear Off/Reroof,11449
MI211111,2016-08-15,5535 Mayview Rd,Single Family,Maintenance/Repair,Walker Roofing Co,Tear Off/Reroof,8380
MI210564,2016-08-15,2542 Crosby Rd,Single Family,Remodel/Alteration,L CRAMER COMPANY,CLOSET ADDITION IN EXISTING BONUS ROOM ABOVE THE GARAGE DORMER WILL MATH THE DORMER DIRECTLY OPPOSIT,12000
MI210738,2016-08-15,4838 Woodridge Ct,Single Family,Remodel/Alteration,IDEAL STRUCTURES,FINISH BASEMENT WITH LIVING EXERCISE AND BATHROOM,32000
MI210830,2016-08-15,5787 Vine Hill Rd,Single Family,Remodel/Alteration,Mark D Lundby,PARTIAL REMOVAL OF ONE NON LOAD BEARING WALL AND FULL REMOVAL OF DIVIDING WALL BETWEEN KITCHEN AND L,400
MI210843,2016-08-15,1009 Horn Dr,Single Family,Remodel/Alteration,ALLSTAR CONSTRUCTION RESIIDENTIAL,CONSTRUCT LLC NEW DECK ON BACK OF HOUSE,17000
MI210989,2016-08-15,15715 Normandy La,Single Family,Remodel/Alteration,Ryan Volk,REMOVING LOAD BEARING WALL AND ADDING ONE WINDOW,1000
MI210078,2016-08-12,10237 Yellow Circle Dr,Commercial/Ind,Remodel/Alteration,BLACK/DEW,"RENOVATION OF EXISTING SF TWO 600,000 STORY SPACE",8200
MI211022,2016-08-12,2200 Plymouth Rd,Commercial/Ind,Remodel/Alteration,RICHARD OSNESS CONSTRUCTION,BUILD PERGOLA ON EXISTING DECK AT NORTH OF POOL,5970
MI211025,2016-08-12,2024 Oakland Rd,Single Family,Maintenance/Repair,CASTLEROCK HOMES INC.,Tear Off/Reroof,22750
MI211052,2016-08-12,13711 Summit La,Single Family,Maintenance/Repair,All Sons Exteriors Inc,Tear Off/Reroof,8000
MI211062,2016-08-12,5408 Waters Edge Dr,Townhouse Units,Maintenance/Repair,Kuhls Contracting Inc,Tear Off/Reroof,12000
MI211063,2016-08-12,5412 Waters Edge Dr,Townhouse Units,Maintenance/Repair,Kuhls Contracting Inc,Tear Off/Reroof,12000
MI211019,2016-08-11,10700 Cedar Lake Rd,Commercial/Ind,Maintenance/Repair,School District #270,INTERIOR DEMO PRIOR TO NEW PERMIT 0,
MI208876,2016-08-11,2004 Plymouth Rd,Commercial/Ind,New,WEIS BUILDERS INC,New Construction - MULTI-LEVEL ASSISTED LIVING,13794000
MI209962,2016-08-11,12993 Ridgedale Dr,Commercial/Ind,Remodel/Alteration,MISSION CONSTRUCTION,INTERIOR REMODEL,450000
MI210412,2016-08-11,12269 Wayzata Blvd 1163,Commercial/Ind,Tenant Finish,THOMAS-GRACE CONSTRUCTION INC,BUILD OUT OF RETAIL SPACE IN THE MALL,125000
MI211003,2016-08-11,16835 Scenic La S,Single Family,Maintenance/Repair,Sela Roofing,Tear Off/Reroof,5400
MI211018,2016-08-11,3223 Robinwood La,Single Family,Maintenance/Repair,Dale Antonson,Other,250
MI211021,2016-08-11,13329 Northridge Rd,Single Family,Maintenance/Repair,ADVANCED HOME IMPROVEMENT LLC,"INTERIOR DEMO PRIOR TO PERMIT- BATH, KITCH 0 CAB.,FLRS",
MI210784,2016-08-11,2336 Nottingham Ct,Single Family,Remodel/Alteration,Matthew P Jerome,REMOVE INTERIOR FRPLS AND OR BRICK FULL KITCHEN AND DINING ROOM REMODEL,60000
MI210829,2016-08-11,15809 Willowood Dr,Single Family,Remodel/Alteration,KIRK REMODELING,NEW DECK SURFACE USING EXISITING FOOTINGS AND FRAMING INSTALL 2 NEW DOORS IN EXISTING OPEINING,13000
MI210335,2016-08-10,5951 Clearwater Dr,Commercial/Ind,Remodel/Alteration,MICS CONSTRUCTION,INTERIOR RENOVATION OF EXISTING SPACE,83000
MI210385,2016-08-10,15700 Normandy La,Single Family,Addition,W I P O INC,EXTEND GARAGE 10 ' ADD NEW MUDROOM IN GARAGE INTERIOR AND KITCHEN REMODEL,100000
MI210737,2016-08-10,4502 Dunibar Ridge Rd,Single Family,Remodel/Alteration,DESIGNER SPACES INC,NEW DECK AND SCREEN PORCH,25000
MI210974,2016-08-10,933 Fairfield Way,Townhouse Units,Maintenance/Repair,Brian Seesz,Replace INSUL & SHEETROCK IN GARAGE--WATER DAMAGE,1500
MI210980,2016-08-10,408 Parkers Lake Rd 110,Townhouse Units,Remodel/Alteration,JANETKA CONSTRUCTION CONSULTANTS,ADD LLC 1 WALL IN THE BATHROOM,2500
MI210082,2016-08-09,4801 Co Rd No 101,Commercial/Ind,Remodel/Alteration,SULLIVAN DAY CONSTRUCTION,TENANT IMPROVEMENT,45000
MI210349,2016-08-09,701 Carlson Pkwy,Commercial/Ind,Remodel/Alteration,THE BAINEY GROUP,INTERIOR COMMON AREA REMODEL,40000
MI210924,2016-08-09,16183 Crosby Cove,Single Family,Maintenance/Repair,ALLSTAR CONSTRUCTION COMMERCIAL,"Tear LLC Off/Reroof, repair soffit-no structural damage",32000
MI210948,2016-08-09,2320 Grays Landing Rd,Single Family,Maintenance/Repair,Garlock-french Roofing,Tear Off/Reroof,90797
MI210951,2016-08-09,2000 Indian Rd W,Single Family,Maintenance/Repair,HUNERBERG CONSTRUCTION,STUCCO REPAIR DUE TO WATER INTRUSION,5246
MI210756,2016-08-09,5247 Ridgeway Dr,Single Family,Remodel/Alteration,LANDMARK REMODELING LLC,ReMOVE BEARING WALL INSTALL DROP BEAM,5000
MI210899,2016-08-09,5380 Beachside Dr,Townhouse Units,Remodel/Alteration,WAGENMAN JACOBSON,REPLACE 2 HEAVED DECK FOOTINGS INSTALLING 2 NEW,800
MI210900,2016-08-09,5193 Beachside Dr,Townhouse Units,Remodel/Alteration,WAGENMAN JACOBSON,REPLACE 2 HEAVED DECK FOOTINGS INSTALLING 2 NEW,800
MI210889,2016-08-08,5501 Feltl Rd,Commercial/Ind,Move Building,WELSH CONSTRUCTION,DEMO PRIOR TO ISSUING THE TENANT FINISH 0,
MI210894,2016-08-08,3447 Oakton Dr,Single Family,Maintenance/Repair,WEINKAUF BUILDING AND REMODELING,Tear LLC Off/Reroof,12500
MI209592,2016-08-08,1905 Welland Ave,Single Family,Remodel/Alteration,DOUG MCEVERS,KITCHEN REMODEL,13260
